Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
red,5.56,2.13,0.45,0.26,1.2,0.14,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
red,5.3,1.94,0.3,0.18,1.23,0.2,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
red,5.3,1.99,0.48,0.3,1.2,0.2,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
other,5.3,2.45,0.48,0.38,1.04,0.2,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
other,5.2,2.02,0.48,0.18,1.32,0.22,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
red,5.3,1.96,0.3,0.18,1.04,0.2,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
other,5.3,2.17,0.3,0.18,1.18,0.2,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Dagussa
brown,5.3,2.39,0.48,0.28,1.28,0.2,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Dagussa
red,5.3,2.51,0.95,0.43,1.2,0.2,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Dagussa
other,5.2,2.18,0.3,0.26,1.3,0.22,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Dagussa
red,5.3,2.41,0.48,0.2,1.28,0.2,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Dagussa
other,5.3,2.26,0.48,0.36,1.26,0.2,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Dagussa
red,5.3,2.79,1.2,0.63,1.04,0.2,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
other,5.2,2.64,0.6,0.28,1.18,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.8,2.09,0.3,0.38,1.08,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
black,5.5,2.29,0.48,0.45,1.08,0.16,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,4.9,2.37,0.6,0.38,1.18,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.6,1.8,0.6,0.2,1.32,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.3,2.09,0.48,0.34,1.23,0.21,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.6,2.16,0.6,0.36,1.2,0.11,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.3,2.53,0.7,0.41,1.18,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5,2.46,0.6,0.38,1.08,0.21,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.3,2.6,0.48,0.45,1.18,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.7,2.59,0.48,0.38,1.2,0.18,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.3,2.44,0.6,0.36,1.2,0.2,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.4,2.66,0.48,0.41,1.18,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.1,2.41,0.7,0.72,1.18,0.23,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.3,2.55,0.6,0.43,1.2,0.19,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.1,2.47,0.6,0.4,1.15,0.23,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.4,2.39,0.48,0.43,1.2,0.21,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.1,2.57,0.48,0.4,1.23,0.23,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.1,2.58,0.48,0.4,1.26,0.23,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.1,2.52,0.48,0.34,1.32,0.23,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.1,1.96,0.48,0.3,1.45,0.13,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.1,2.53,0.48,0.38,1.11,0.24,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.8,2.42,0.48,0.3,1.32,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.9,2.34,0.48,0.26,1.18,0.23,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.1,2.46,0.48,0.23,1.26,0.16,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5,2.2,0.48,0.32,1.15,0.2,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
other,5.1,2.39,0.6,0.43,1.11,0.22,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.39,2.39,0.48,0.34,1.11,0.21,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.39,2.47,0.48,0.3,1.11,0.21,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.39,2.39,0.6,0.32,1.15,0.21,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.39,2.59,0.6,0.36,1.2,0.21,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,4.9,2.35,0.6,0.3,1.3,0.18,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5,2.62,0.6,0.43,1.23,0.17,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.7,2.13,0.6,0.51,1.28,0.17,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.7,2.39,0.7,0.32,1.32,0.17,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,4.9,2.22,0.6,0.32,1.23,0.16,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.5,2.6,0.48,0.48,1,0.17,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
brown,5.1,2.58,0.48,0.41,1.11,0.13,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5,2.36,0.6,0.34,1.3,0.14,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.2,2.41,0.6,0.41,1.11,0.15,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5,2.34,0.7,0.26,1.28,0.16,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.2,2.36,0.48,0.32,1.2,0.16,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,4.9,2.11,0.78,0.23,1.28,0.16,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.3,2.4,0.48,0.34,1.15,0.15,10.47,16.14,24.3,3.44,0.7,48.62,6.1,79.61,Dagussa
red,5.1,2.44,0.6,0.58,1.2,0.18,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
brown,5.3,2.38,0.7,0.41,1.2,0.13,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
brown,4.9,2.26,0.6,0.36,1.23,0.14,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
red,5.5,2.37,0.48,0.38,1.11,0.18,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
brown,5.4,2.62,0.7,0.57,1.36,0.17,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Dagussa
brown,6.1,2.92,1.93,0.82,0.9,0.28,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Fallow
brown,6.3,2.48,0.48,0.34,0.85,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Fallow
red,5.4,2.48,0.48,0.38,1.04,0.23,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Fallow
gray,6.76,2.5,0.79,0.31,0.92,0.1,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Fallow
red,5.3,1.89,0.3,0.28,1.18,0.24,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Fallow
brown,7.3,2.55,0.85,0.36,0.9,0.1,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Fallow
black,5.8,2.54,0.7,0.36,1.08,0.15,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Fallow
brown,7.1,2.38,0.9,0.32,0.9,0.04,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Fallow
brown,5,1.95,0.6,0.32,1.08,0.32,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Fallow
brown,7,2.27,0.3,0.23,0.9,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Fallow
brown,5.7,2.23,0.3,0.34,0.7,0.12,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Fallow
black,6,2.58,1.08,0.54,0.85,0.45,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Fallow
brown,6.2,2.55,1,0.43,0.95,0.26,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Fallow
black,6.1,2.3,0.85,0.58,1.36,0.12,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,5.3,2.63,1.67,0.57,1.11,0.23,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
gray,6.9,2.41,1.04,0.41,0.9,0.13,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Fallow
red,5.4,2.71,0.78,0.43,1.04,0.13,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
black,5.8,1.9,0.7,0.2,1.08,0.25,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,5.85,2.37,0.92,0.41,0.65,0.23,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,6,2.07,1.3,0.32,0.78,0.1,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,5.41,1.92,0.48,0.3,1,0.23,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Fallow
red,6.4,2.07,0.3,0.28,0.9,0.12,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
black,5.5,2.06,0.3,0.18,0.95,0.23,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,5.1,2.2,1.26,0.23,0.9,0.3,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
brown,5.3,1.71,0.9,0.3,1.08,0.12,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
black,5.2,2.1,0.85,0.23,1.18,0.53,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Fallow
black,6.7,2.51,1.15,0.38,0.78,0.11,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Maize
black,7.4,3.22,2.38,0.89,1.18,0.36,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Maize
brown,7,3.22,2.36,1.08,1.08,0.25,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
brown,6,2.67,0.48,0.36,0.95,0.12,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Maize
red,4.9,2.48,0.7,0.38,1.32,0.25,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
brown,8.14,2.19,0.91,0.3,1.26,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
black,7,3.17,2.35,0.89,1.08,0.27,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
brown,5.9,2.5,0.6,0.52,1.15,0.22,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Maize
black,6.5,3.01,2.07,1.36,1.2,0.24,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
brown,5.2,2.71,0.7,0.36,1.3,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
red,5.76,2.39,0.3,0.31,1.18,0.09,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Maize
black,6.2,3.11,1.69,0.72,1.18,0.24,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
brown,5.6,2.7,1.26,0.54,0.9,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Maize
red,4.86,2.49,1.07,0.34,1.27,0.19,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,6.1,2.39,0.6,0.48,0.95,0.12,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,5.7,2.73,0.6,0.52,1.15,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.19,2.47,0.63,0.61,1.2,0.26,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.3,2.6,0.6,0.3,1.23,0.15,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5.11,2.59,0.48,0.46,1.17,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.14,2.41,0.47,0.41,1.11,0.23,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.4,2.4,0.3,0.2,1.4,0.15,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,4.82,2.71,0.61,0.48,1.48,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.04,2.18,1.17,0.41,1.2,0.26,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,4.96,2.57,0.59,0.37,1.31,0.23,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.8,2.89,1.36,0.52,1,0.21,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5.13,2.41,0.49,0.42,1.2,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.01,2.55,0.57,0.41,1.39,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,4.9,2.61,1.26,0.73,1.15,0.28,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5.01,1.99,0.51,0.29,1.26,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,7.25,2.29,1.36,0.3,0.88,0.18,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.25,2.11,1.44,0.36,0.97,0.3,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.02,2.87,0.41,0.52,1.3,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.65,1.85,0.86,0.3,0.81,0.17,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.1,2.75,0.78,0.57,1.08,0.22,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
other,6.25,1.9,1.31,0.34,0.99,0.14,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.1,2.31,0.6,0.36,1.4,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.46,2.28,2.14,0.53,1.11,0.19,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.87,1.98,0.93,0.28,0.87,0.1,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.1,2.14,1.62,0.38,1.09,0.29,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.1,2.21,0.78,0.34,1.4,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,4.62,2.21,0.49,0.26,1.44,0.19,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,5.7,2.48,0.6,0.4,0.85,0.2,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5,2.26,0.6,0.3,1.36,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,4.7,2.52,0.3,0.4,1.32,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.32,2.09,1.31,0.26,0.95,0.05,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.2,2.47,0.78,0.34,1.4,0.18,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.65,1.79,0.92,0.3,0.96,0.22,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,6.1,2.59,0.48,0.4,1.3,0.13,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,7.82,2.43,0.2,0.29,0.99,0.13,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
brown,6.33,2.63,0.67,0.33,0.95,0.2,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5.8,2.41,0.48,0.26,1.32,0.14,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,6,2.58,0.6,0.28,1.18,0.18,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.41,2.57,0.98,0.49,1.04,0.21,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,4.8,2.14,0.48,0.34,1.2,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.3,2.71,0.78,0.61,1.11,0.25,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Maize
gray,5.7,2.56,1.38,0.23,1.43,0.16,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.5,2.79,0.7,0.46,1.4,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,6.94,2.28,0.4,0.26,0.02,0.14,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.25,2.33,0.93,0.32,1.14,0.2,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,7,2.64,0.95,0.38,1,0.1,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,7.16,2.35,0.81,0.49,0.02,0.19,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,7.64,2.52,1.13,0.36,0.02,0.16,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.55,2.75,0.88,0.57,1.05,0.2,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.7,2.9,1.15,0.66,1.2,0.21,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.45,2.69,0.53,0.4,0.92,0.19,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.4,2.2,0.48,0.45,1.04,0.18,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.31,2.61,0.68,0.38,0.92,0.18,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
other,5.3,2.79,0.7,0.51,1.38,0.29,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.95,2.71,1.72,0.69,0.7,0.24,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.65,2.42,0.71,0.34,0.02,0.15,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.9,2.77,0.85,0.41,1.08,0.09,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.65,2.17,0.43,0.41,0.75,0.2,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.53,2.03,0.57,0.28,1.04,0.19,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6,2.27,0.89,0.33,0.83,0.12,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
other,5.3,2.52,0.69,0.57,1.17,0.29,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
other,5.7,2.84,0.3,0.36,1.28,0.16,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.5,2.71,0.7,0.38,1,0.23,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.22,1.97,1.05,0.39,0.92,0.1,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.96,2.69,1.45,0.41,1.03,0.12,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
black,7.12,2.65,1.83,0.57,1.12,0.1,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.4,2.23,0.7,0.3,1.11,0.12,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.6,2.3,0.3,0.51,1.2,0.12,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.93,2.7,0.66,0.5,1.17,0.27,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.5,2.61,0.7,0.4,1.04,0.13,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,5.7,2.97,0.7,0.83,1.18,0.16,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5,2.35,0.78,0.38,1.42,0.23,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,6.77,2.57,0.44,0.37,1.11,0.13,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.78,2.48,0.41,0.26,0.02,0.17,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.3,2.61,0.6,0.36,0.9,0.14,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,6,2.32,0.7,0.41,0.7,0.11,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
black,6.4,2.54,0.6,0.36,0.9,0.12,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.7,2.27,0.78,0.51,1.2,0.28,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,6.27,2.43,0.56,0.59,1.1,0.16,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,5.8,2.56,0.7,0.32,1.08,0.01,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.8,2.69,0.6,0.34,1.3,0.01,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,6.7,2.8,0.7,0.49,1,0.15,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
red,5.7,2.22,0.48,0.23,1.38,0.16,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.7,2.87,0.6,0.56,1.23,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.4,2.91,2.01,0.94,1,0.15,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.4,2.67,0.53,0.35,1.25,0.15,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.5,2.38,0.48,0.45,1,0.17,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.88,2.44,0.62,0.5,1.18,0.28,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.6,2.74,0.85,0.38,1,0.13,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,5.8,2.55,0.6,0.28,1.04,0.01,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,7,2.72,0.48,0.4,1.26,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.7,2.16,0.48,0.28,1.38,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.6,2.1,0.3,0.18,1.36,0.24,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.4,2.36,0.74,0.37,1.14,0.26,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,7.2,2.73,0.6,0.73,0.9,0.24,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.6,2.57,0.95,0.41,1.18,0.16,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,8.1,2.86,1.83,0.46,1.18,0.09,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Maize
black,6.5,2.68,0.3,0.4,0.85,0.1,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.79,2.58,0.7,0.36,0.86,0.19,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,5.6,2.85,1,0.61,1,0.23,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.7,2.52,0.6,0.52,1.26,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,5.3,2.67,0.48,0.46,1.38,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.78,2.79,0.49,0.54,1.19,0.23,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.02,2.25,1.19,0.34,0.97,0.09,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.34,2.09,0.76,0.31,1.27,0.27,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.55,2.12,0.41,0.34,0.95,0.22,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,7,2.22,0.7,0.4,1.08,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
brown,7,2.69,0.6,0.36,1.34,0.25,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,6.8,2.49,0.6,0.46,0.9,0.2,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,6.18,2.82,0.68,0.48,1.14,0.29,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.85,2.44,0.4,0.32,1.19,0.16,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,6,2.66,0.78,0.51,0.95,0.2,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,6.74,2.85,1.43,0.56,1.07,0.1,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
brown,6.04,2.5,0.44,0.36,0.98,0.13,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.2,2.63,0.3,0.38,1.23,0,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
red,5.71,2.69,0.85,0.59,1.16,0.2,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
red,5.58,2.54,0.72,0.47,1.16,0.3,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
black,5.67,2.87,1.45,0.7,1.08,0.17,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Maize
black,6.82,2.38,1,0.49,0.95,0.13,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Maize
