Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
brown,6.4,2.38,1.71,0.36,1.26,0.13,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.7,2.32,0.7,0.58,0.85,0.27,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.9,2.39,0.95,0.53,1,0.22,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.8,2.54,1.08,0.62,0.9,0.22,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6,2.5,1.08,0.63,0.85,0.27,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.3,2.47,1.04,0.51,0.78,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.07,2.1,1.16,0.39,1.09,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.56,2.2,0.81,0.53,1.18,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.25,1.75,1.93,0.25,0.82,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.3,2.2,0.78,0.38,0.85,0.18,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.9,2.27,0.7,0.4,0.95,0.21,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.9,2.5,0.6,0.64,0.85,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.1,2.96,2.22,0.63,0.9,0.21,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
gray,5.7,2.27,1.27,0.32,1.23,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
gray,5.61,3.16,2.47,0.65,1.36,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.63,2.59,1.38,0.48,1.26,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.35,2.02,0.63,0.32,1.13,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6,2.36,0.6,0.46,0.9,0.26,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.1,2.62,1.99,0.51,1.04,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.8,2.51,0.9,0.49,0.9,0.18,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.61,2.38,1.25,0.43,1.17,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.95,1.99,0.87,0.43,1.13,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.85,1.96,0.86,0.46,1.17,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6,2.53,1,0.57,1.08,0.31,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.2,2.46,1.36,0.48,0.9,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.3,2.29,0.95,0.45,1.04,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.9,2.25,1.28,0.49,1.04,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.1,2.66,1.6,0.67,1.04,0.26,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.95,2.33,0.51,0.43,1.11,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
other,5.5,1.96,0.78,0.34,1.08,0.37,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.6,2.6,1.28,0.86,0.95,0.4,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.9,2.56,1.15,0.81,0.95,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.2,2.56,1,0.41,0.7,0.14,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.7,2.39,0.6,0.61,0.85,0.2,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.6,2.7,2.03,0.66,1.08,0.22,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.6,2.06,0.85,0.56,0.95,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.4,2.43,1.69,0.63,1,0.16,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.9,2.6,0.7,0.48,0.78,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.7,2.65,0.85,0.66,1.04,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.4,2.03,0.78,0.51,1.04,0.21,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.2,2.53,0.9,0.46,0.95,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.8,2.51,0.48,0.28,0.95,0.12,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,6,2.66,0.78,0.45,0.95,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.5,2.44,0.95,0.51,1.08,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.4,1.92,0.95,0.52,1.3,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6,2.72,1.93,0.72,1,0.2,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.5,2.44,0.85,0.48,1.11,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.72,2.48,1.42,0.56,1.19,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.9,2.55,0.48,0.43,0.78,0.21,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.5,2.05,0.7,0.7,0.85,0.44,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.1,2.19,0.85,0.59,1.08,0.38,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.2,2.53,1,0.65,0.9,0.31,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
